Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,3.05,3.19,3.03,3.11,2033100,3.11
2016-10-25,3.24,3.24,3.01,3.12,1139800,3.12
2016-10-24,3.31,3.31,3.17,3.24,1247700,3.24
2016-10-21,3.45,3.46,3.29,3.32,579600,3.32
2016-10-20,3.46,3.55,3.45,3.48,405700,3.48
2016-10-19,3.51,3.59,3.45,3.49,526300,3.49
2016-10-18,3.46,3.62,3.46,3.52,347000,3.52
2016-10-17,3.42,3.45,3.35,3.44,586800,3.44
2016-10-14,3.40,3.46,3.37,3.44,589300,3.44
2016-10-13,3.41,3.47,3.37,3.38,1242800,3.38
2016-10-12,3.52,3.56,3.35,3.38,574200,3.38
2016-10-11,3.65,3.72,3.48,3.56,867500,3.56
2016-10-10,3.67,3.76,3.61,3.68,644900,3.68
2016-10-07,3.52,3.70,3.50,3.67,952600,3.67
2016-10-06,3.72,3.75,3.48,3.52,1473300,3.52
2016-10-05,3.83,3.97,3.73,3.76,616500,3.76
2016-10-04,4.12,4.14,3.73,3.83,1853200,3.83
2016-10-03,4.32,4.35,4.08,4.08,454500,4.08
2016-09-30,4.62,4.62,4.33,4.34,1489100,4.34
2016-09-29,4.32,4.78,4.10,4.49,4126500,4.49
2016-09-28,3.98,4.55,3.92,4.25,2066400,4.25
2016-09-27,3.98,4.02,3.95,4.02,269200,4.02
