Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,8.33,8.44,8.31,8.40,13600700,8.40
2016-10-25,8.60,8.64,8.49,8.54,19283000,8.54
2016-10-24,8.40,8.73,8.39,8.70,34194900,8.70
2016-10-21,8.19,8.33,8.16,8.30,18018700,8.30
2016-10-20,8.21,8.29,8.20,8.24,11735200,8.24
2016-10-19,7.95,8.06,7.91,7.98,13062800,7.98
2016-10-18,7.99,8.12,7.96,8.11,37615500,8.11
2016-10-17,7.65,7.69,7.57,7.62,13710800,7.62
2016-10-14,7.26,7.37,7.24,7.27,8660000,7.27
2016-10-13,7.18,7.20,7.07,7.15,12452400,7.15
2016-10-12,7.44,7.50,7.32,7.37,21801200,7.37
2016-10-11,7.47,7.52,7.41,7.44,7911000,7.44
2016-10-10,7.49,7.54,7.45,7.50,3546500,7.50
2016-10-07,7.48,7.54,7.42,7.50,5989300,7.50
2016-10-06,7.54,7.54,7.42,7.45,9132900,7.45
2016-10-05,7.66,7.73,7.65,7.70,4777500,7.70
2016-10-04,7.66,7.77,7.66,7.69,6538000,7.69
2016-10-03,7.60,7.64,7.54,7.60,9197600,7.60
2016-09-30,7.51,7.56,7.42,7.47,17227600,7.47
2016-09-29,7.50,7.58,7.29,7.41,15477700,7.41
2016-09-28,7.84,7.87,7.77,7.87,7080800,7.87
2016-09-27,7.79,7.86,7.73,7.81,4571300,7.81
