Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,77.419998,77.650002,76.370003,76.760002,2958900,76.760002
2016-10-25,76.879997,78.279999,75.50,77.75,8496000,77.75
2016-10-24,78.489998,78.690002,77.440002,77.57,4363200,77.57
2016-10-21,78.540001,78.779999,78.080002,78.25,3215000,78.25
2016-10-20,78.730003,79.110001,78.389999,78.739998,2661900,78.739998
2016-10-19,78.959999,79.330002,78.529999,78.559998,2988500,78.559998
2016-10-18,79.089996,79.150002,78.50,78.769997,3218300,78.769997
2016-10-17,79.529999,79.529999,78.010002,78.529999,3884700,78.529999
2016-10-14,80.169998,80.32,79.209999,79.269997,3143900,79.269997
2016-10-13,79.93,80.489998,79.599998,80.00,3565000,80.00
2016-10-12,81.809998,82.220001,80.459999,80.510002,3629800,80.510002
2016-10-11,82.599998,82.849998,81.25,81.809998,4218200,81.809998
2016-10-10,82.129997,83.239998,82.099998,83.059998,4608400,83.059998
2016-10-07,81.57,82.309998,81.300003,82.089996,4241400,82.089996
2016-10-06,81.25,81.779999,80.730003,81.470001,2994200,81.470001
2016-10-05,81.349998,82.089996,81.230003,81.75,3560400,81.75
2016-10-04,81.059998,81.410004,80.68,81.110001,3184100,81.110001
2016-10-03,80.00,81.07,79.690002,81.00,3983500,81.00
2016-09-30,80.099998,80.650002,80.029999,80.260002,3623000,80.260002
2016-09-29,80.349998,80.470001,79.230003,79.739998,3269200,79.739998
2016-09-28,80.839996,81.169998,80.019997,80.709999,2467800,80.709999
2016-09-27,80.620003,80.93,79.610001,80.879997,6888900,80.879997
