Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,12.42,13.03,12.26,12.99,4218700,12.99
2016-10-25,12.84,13.15,12.55,12.64,3253000,12.64
2016-10-24,13.31,13.32,12.65,12.91,2284000,12.91
2016-10-21,13.31,13.73,13.23,13.37,2606500,13.37
2016-10-20,13.14,13.60,12.92,13.46,2996900,13.46
2016-10-19,13.34,13.85,13.34,13.37,2467800,13.37
2016-10-18,13.58,13.68,13.06,13.12,2594800,13.12
2016-10-17,13.14,13.48,12.92,13.31,3380300,13.31
2016-10-14,12.92,13.21,12.87,13.13,3568000,13.13
2016-10-13,12.69,12.93,12.48,12.91,5251700,12.91
2016-10-12,13.29,13.32,12.97,13.03,3421400,13.03
2016-10-11,13.46,13.64,13.18,13.46,2495400,13.46
2016-10-10,13.57,13.92,13.56,13.58,2707200,13.58
2016-10-07,13.58,13.67,13.19,13.34,4031200,13.34
2016-10-06,13.69,13.93,13.20,13.52,2659400,13.52
2016-10-05,13.28,13.80,13.08,13.54,4641600,13.54
2016-10-04,13.11,13.28,12.79,13.03,3727900,13.03
2016-10-03,12.94,13.09,12.60,13.00,4555500,13.00
2016-09-30,12.75,13.01,12.47,12.90,3556700,12.90
2016-09-29,12.15,13.02,12.13,12.64,6829700,12.64
2016-09-28,11.23,12.41,10.86,12.14,7609400,12.14
2016-09-27,11.33,11.35,10.98,11.15,5536900,11.15
