Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,9.33,9.42,9.22,9.26,2515700,9.26
2016-10-25,9.37,9.52,9.28,9.40,1940600,9.40
2016-10-24,9.40,9.56,9.40,9.41,1629300,9.41
2016-10-21,9.39,9.44,9.32,9.39,2180200,9.39
2016-10-20,9.46,9.48,9.19,9.45,2861000,9.45
2016-10-19,9.37,9.39,9.13,9.29,2594900,9.29
2016-10-18,9.42,9.45,9.25,9.40,2648800,9.40
2016-10-17,9.48,9.56,9.25,9.31,3376100,9.31
2016-10-14,9.60,9.69,9.42,9.45,2443500,9.45
2016-10-13,9.52,9.65,9.41,9.56,2640800,9.56
2016-10-12,9.70,9.74,9.47,9.56,2490100,9.56
2016-10-11,9.94,9.99,9.57,9.66,2784700,9.66
2016-10-10,9.87,10.02,9.85,9.95,2552100,9.95
2016-10-07,9.84,9.93,9.53,9.91,8360400,9.91
2016-10-06,10.59,10.66,10.41,10.43,2665700,10.43
2016-10-05,10.69,10.91,10.67,10.74,3947500,10.74
2016-10-04,10.70,10.75,10.51,10.59,2437800,10.59
2016-10-03,10.59,10.75,10.57,10.69,3319700,10.69
2016-09-30,10.59,10.65,10.47,10.59,2461000,10.59
2016-09-29,10.80,10.84,10.45,10.60,4120700,10.60
2016-09-28,11.18,11.18,10.83,10.87,3834800,10.87
2016-09-27,11.10,11.31,11.08,11.19,3101200,11.19
