Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,5.55,5.80,5.43,5.50,964500,5.50
2016-10-25,5.60,5.80,5.45,5.50,639500,5.50
2016-10-24,5.75,5.80,5.50,5.55,684000,5.55
2016-10-21,5.80,5.90,5.55,5.60,739100,5.60
2016-10-20,6.25,6.33,5.75,5.85,1098100,5.85
2016-10-19,6.35,6.45,6.30,6.30,527800,6.30
2016-10-18,6.20,6.35,6.13,6.35,642900,6.35
2016-10-17,6.20,6.30,6.05,6.15,473700,6.15
2016-10-14,6.26,6.28,6.12,6.16,543000,6.16
2016-10-13,6.50,6.50,6.18,6.22,717300,6.22
2016-10-12,6.64,6.69,6.50,6.58,389000,6.58
2016-10-11,6.70,6.82,6.56,6.64,471400,6.64
2016-10-10,6.97,7.16,6.78,6.81,521600,6.81
2016-10-07,7.00,7.07,6.85,6.90,400700,6.90
2016-10-06,6.91,7.07,6.86,6.98,280800,6.98
2016-10-05,6.99,7.14,6.94,7.00,580500,7.00
2016-10-04,6.98,7.08,6.89,6.92,356700,6.92
2016-10-03,7.29,7.31,6.97,7.01,378100,7.01
2016-09-30,7.16,7.22,6.96,7.20,507600,7.20
2016-09-29,7.20,7.32,7.03,7.12,723800,7.12
2016-09-28,7.26,7.28,7.19,7.23,743700,7.23
2016-09-27,7.00,7.16,6.86,7.16,322200,7.16
