Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,43.00,43.209999,42.310001,42.330002,10905300,42.330002
2016-10-25,43.66,44.07,43.00,43.310001,9463900,43.310001
2016-10-24,44.00,44.52,43.139999,43.869999,19079000,43.869999
2016-10-21,41.849998,44.240002,41.84,44.150002,37554700,44.150002
2016-10-20,40.23,40.290001,39.82,40.09,13337500,40.09
2016-10-19,39.970001,40.470001,39.84,40.240002,6587700,40.240002
2016-10-18,40.00,40.18,39.779999,39.830002,5475900,39.830002
2016-10-17,39.240002,39.619999,39.16,39.48,5279500,39.48
2016-10-14,39.459999,39.889999,39.23,39.240002,6647600,39.240002
2016-10-13,39.389999,39.400002,38.75,39.200001,7865200,39.200001
2016-10-12,39.77,39.799999,39.299999,39.529999,7039900,39.529999
2016-10-11,40.029999,40.110001,38.959999,39.189999,9955700,39.189999
2016-10-10,40.130001,40.169998,39.59,39.860001,6636700,39.860001
2016-10-07,40.419998,40.419998,39.619999,39.880001,6109900,39.880001
2016-10-06,40.32,40.389999,39.860001,40.18,6312000,40.18
2016-10-05,40.950001,40.950001,40.400002,40.439999,6128200,40.439999
2016-10-04,41.299999,41.299999,40.439999,40.779999,5046600,40.779999
2016-10-03,40.869999,41.200001,40.16,40.59,6925000,40.59
2016-09-30,40.290001,41.049999,40.27,40.970001,8685600,40.970001
2016-09-29,40.91,41.299999,40.360001,40.389999,7953000,40.389999
2016-09-28,41.150002,41.189999,40.209999,40.970001,6751200,40.970001
2016-09-27,40.040001,41.23,39.490002,41.060001,8674100,41.060001
